medlemmer,n,medlemmer_short_party,medlemmer_short
 Cand. mag. Preben Wilhjelm. (VS),2,Preben Wilhjelm. (VS),Preben Wilhjelm
 Chauffør Mogens Voigt. (FP),2,Mogens Voigt. (FP),Mogens Voigt
 Civilingeniør Lone Dybkjær. (RV),2,Lone Dybkjær. (RV),Lone Dybkjær
 Civilingeniør Uffe Thorndahl. (FP),2,Uffe Thorndahl. (FP),Uffe Thorndahl
 Direktør Palle Julius Skipper Simonsen. (KF),2,Skipper Simonsen. (KF),Skipper Simonsen
 Fabrikant Ole Bøg Maisted. (FP),2,Bøg Maisted. (FP),Bøg Maisted
 Faglærer Børge Bakholt. (S),2,Børge Bakholt. (S),Børge Bakholt
 Fhv. minister Egon Carlo Larsen Jensen. (S),2,Larsen Jensen. (S),Larsen Jensen
 Fhv. minister Erik Ninn-Hansen. (KF),2,NA,NA
 Fhv. udenrigsminister Henning Christophersen. (V),2,Henning Christophersen. (V),Henning Christophersen
 Forbundsformand Hans Jørgen Jensen. (S),2,Jørgen Jensen. (S),Jørgen Jensen
 Forsvarsminister Poul Søgaard. (S),2,Poul Søgaard. (S),Poul Søgaard
 Gerda Edith Møller. (KF),2,Edith Møller. (KF),Edith Møller
 Godsejer Steen Nymann. (FP),2,Steen Nymann. (FP),Steen Nymann
 Grete (Karen Margrethe) Hækkerup. (S),2,NA,NA
 Gårdejer Ivar Christian Hansen. (V),2,Christian Hansen. (V),Christian Hansen
 Industriminister Erling Johannes Jensen. (S),2,Johannes Jensen. (S),Johannes Jensen
 Journalist Birte Weiss. (S),2,Birte Weiss. (S),Birte Weiss
 Konsulent René Robert Brusvang. (CD),2,Robert Brusvang. (CD),Robert Brusvang
 Lærer Helle Degn. (S),2,Helle Degn. (S),Helle Degn
 Lærer Karen Højte Jensen. (KF),2,Højte Jensen. (KF),Højte Jensen
 Lærerstuderende Søren Nørgaard Sørensen. (S),2,Nørgaard Sørensen. (S),Nørgaard Sørensen
 Major Erik Andersen. (S),2,Erik Andersen. (S),Erik Andersen
 Major Jens Kristian Hansen. (S),2,Kristian Hansen. (S),Kristian Hansen
 Matthiasen. (S),2,NA,NA
 Niels Helveg Petersen. (RV),2,Helveg Petersen. (RV),Helveg Petersen
 Overlærer Flemming Jørgen Jensen. (KF),2,Jørgen Jensen. (KF),Jørgen Jensen
 Programsekretær Jimmy Georg Stahr. (S),2,Georg Stahr. (S),Georg Stahr
 Præst Margrete Gunnarsdatter Auken. (SF),2,Gunnarsdatter Auken. (SF),Gunnarsdatter Auken
 Rangermester Jens Peter Lerke. (S),2,Peter Lerke. (S),Peter Lerke
 Redaktør Jens Peter Jensen. (V),2,Peter Jensen. (V),Peter Jensen
 Redaktør Knud Alfred Damgaard. (S),2,Alfred Damgaard. (S),Alfred Damgaard
 Redaktør Svend Erik Hovmand. (V),2,Erik Hovmand. (V),Erik Hovmand
 Sekretær Svend Holger Arne Andersen. (S),2,Arne Andersen. (S),Arne Andersen
 Sekretær Aase Olesen. (RV),2,Aase Olesen. (RV),Aase Olesen
 Seminarieadjunkt Bertel Geismar Haarder. (V),2,Geismar Haarder. (V),Geismar Haarder
 Skoleinspektør Hans Ejlert Erenbjerg. (S),2,Ejlert Erenbjerg. (S),Ejlert Erenbjerg
 Socialrådgiver Inge Fischer Møller. (S),2,Fischer Møller. (S),Fischer Møller
